"","Continent","n_basin","n_trans_basin","n_crypt_basin","n_trans_crypt_basin","prop_trans","prop_crypt","prop_trans_crypt","sed_cont","trans_sed_cont","crypt_sed_cont","trans_crypt_sed_cont","prop_trans_sed","prop_crypt_sed","prop_trans_crypt_sed"
"1","Africa",3903,402,1657,166,0.102997694081476,0.424545221624392,0.0425313861132462,4728397837.91161,3378463296.34008,4115169232.00316,2936024739.17814,0.714504872930119,0.870309431031444,0.620934371392677
"2","Asia",6214,433,3927,259,0.0696813646604442,0.631960090119086,0.0416800772449308,9905988369.06922,5263600551.03437,7982766498.97877,3983185821.97365,0.531355414010944,0.805852601634827,0.402098778392561
"3","Europe",3588,255,3314,225,0.0710702341137124,0.923634336677815,0.0627090301003344,2719598208.48167,862143716.427403,2699149952.41618,846292621.735133,0.317011429754078,0.992481148133678,0.311182960444591
"4","North America",6004,139,5482,134,0.0231512325116589,0.913057961359094,0.0223184543637575,2857288197.13381,1176771792.59421,2769960949.11724,1174570998.14551,0.411849177053489,0.96943701790244,0.411078938177722
"5","Oceania",2290,21,1393,19,0.00917030567685589,0.608296943231441,0.00829694323144105,402121338.63857,9085443.71755604,384668843.194894,9085443.71755604,0.022593786612558,0.956598932295501,0.022593786612558
"6","South America",2027,150,1548,107,0.0740009866798224,0.763690182535767,0.0527873704982733,4049012938.02948,2528931341.37827,3822381767.97605,2359970669.35125,0.624579713644733,0.944028044977369,0.582850859078699
