"","MAIN_BAS","n_iso3","total_sed_bas","prop_sed","crypt"
"1",1080000010,1,0,0,1
"2",1080000100,1,0,0,1
"3",1080000110,1,3.49976809129293,0.000000000140839467497963,1
"4",1080000150,1,634.10005721054,0.0000000255177806267064,1
"5",1080000160,1,0,0,1
"6",1080000210,1,14.970155433286,0.00000000060243669425731,1
"7",1080000220,1,0,0,1
"8",1080000230,1,0,0,1
"9",1080000240,1,0.197330308256596,0.00000000000794106775394953,1
"10",1080000270,1,0,0,1
"11",1080000280,1,0,0,0
"12",1080000290,1,0,0,1
"13",1080000300,1,3.59834542371391,0.000000000144806467208624,1
"14",1080000330,1,0.033507269821712,0.0000000000013484167853125,1
"15",1080000340,1,98.547351387806,0.00000000396579319850468,1
"16",1080000390,1,2.48789600655437,0.00000000010011919064728,1
"17",1080000400,1,3393.35764690489,0.000000136557243666869,1
"18",1080000410,1,0.366590886376798,0.0000000000147525389911879,1
"19",1080000420,1,2239.03193616643,0.0000000901042747332763,1
"20",1080000490,1,437.448510850962,0.0000000176040279581112,1
"21",1080000500,1,506.782031288138,0.000000020394183146515,1
"22",1080000510,1,61.5920933037996,0.0000000024786206962037,1
"23",1080000520,1,37.4659317454061,0.00000000150772329442795,1
"24",1080000530,1,122.439433522522,0.00000000492727065572326,1
"25",1080000540,1,810.165097076911,0.0000000326030805131416,1
"26",1080000700,1,2674.00454574823,0.000000107608666199132,1
"27",1080000710,1,15831.2656879053,0.000000637089936001911,1
"28",1080000730,1,450.928590655327,0.0000000181465002625476,1
"29",1080000740,1,3826.28117704764,0.000000153979175024075,1
"30",1080000790,1,12116.630338775,0.00000048760366980553,1
"31",1080000800,1,5681.40438716859,0.000000228633997355466,1
"32",1080000820,1,34063.8842933774,0.00000137081635115403,1
"33",1080000830,1,665.488922528923,0.0000000267809474884779,1
"34",1080000900,1,613.739800453186,0.0000000246984327027792,1
"35",1080000910,1,1009.11557724141,0.0000000406093480582805,1
"36",1080000920,1,0,0,1
"37",1080000930,1,100.869853004813,0.0000000040592565030637,1
"38",1080000960,1,108.78721306473,0.00000000437787097857782,1
"39",1080000970,1,233.49147932604,0.00000000939628419820303,1
"40",1080001080,1,0,0,1
"41",1080001090,1,129.310645677149,0.00000000520378550918764,1
"42",1080001200,1,0,0,1
"43",1080001210,1,377.900754715316,0.0000000152076765296528,1
"44",1080001230,1,0,0,1
"45",1080001240,1,2.25043022300815,0.0000000000905629704546217,1
"46",1080001270,1,0,0,1
"47",1080001280,1,14.7749939430505,0.000000000594582905193613,1
"48",1080001350,1,8.48454743623734,0.000000000341439521622535,1
"49",1080001360,1,4.82418034505099,0.000000000194137146573079,1
"50",1080001370,2,8819.50781704622,0.000000354919169540752,1
"51",1080001380,1,21.7453870135359,0.000000000875089048083779,1
"52",1080001390,2,2339.30938982638,0.0000000941396915972265,1
"53",1080001400,1,1.44535105163231,0.0000000000581645603792887,1
"54",1080001430,1,904.094162657857,0.0000000363830222789728,1
"55",1080001440,1,48.4105887636542,0.00000000194816381111043,1
"56",1080001450,1,0,0,1
"57",1080001460,1,0,0,0
"58",1080001470,1,0,0,1
"59",1080001480,1,0.117581475526094,0.00000000000473177421153124,1
"60",1080001510,1,1155359.6052014,0.0000464945754463139,1
"61",1080001520,1,30.0495892241597,0.00000000120927102438369,1
"62",1080001560,1,1.83239790145308,0.0000000000737402987721094,1
"63",1080001570,1,40650.4776921449,0.00000163587743026265,1
"64",1080001640,1,20794.0545541821,0.000000836805037974005,1
"65",1080001650,1,32182.4163487436,0.000001295101350467,1
"66",1080001740,1,19567.5845410004,0.000000787448800916905,1
"67",1080001750,1,12105.0853853039,0.000000487139071850255,1
"68",1080001800,1,12040.4583944231,0.000000484538319244877,1
"69",1080001810,1,3207.64963337313,0.000000129083886274708,1
"70",1080001860,1,17894.0220425967,0.000000720100438125055,1
"71",1080001870,1,4406.68606027425,0.000000177336126843318,1
"72",1080001920,1,7164.74887318909,0.000000288327509061834,1
"73",1080001930,1,61.179276999319,0.00000000246200793016295,1
"74",1080001960,1,5435.590825269,0.000000218741841572959,1
"75",1080001970,1,1175.30109054851,0.0000000472970709557717,1
"76",1080002090,1,2081.21459525824,0.0000000837533081333028,1
"77",1080002100,1,21.548955520615,0.000000000867184150918836,1
"78",1080002110,1,222.849395751953,0.00000000896801999767727,1
"79",1080002120,1,494.324371304363,0.0000000198928555863402,1
"80",1080002170,1,14348.655608777,0.000000577425978675413,1
"81",1080002180,1,5.07038541696966,0.000000000204045057703131,1
"82",1080002210,1,7190.11242788099,0.000000289348202274492,1
"83",1080002220,1,7143.29266249202,0.000000287464057195804,1
"84",1080002250,1,16505.6484310105,0.00000066422879319221,1
"85",1080002260,1,19.1889626081538,0.000000000772212102365983,1
"86",1080002290,1,485757.586361298,0.0000195481066206722,1
"87",1080002300,1,9023.77583834052,0.000000363139428310904,1
"88",1080002330,1,36782.9404671619,0.00000148023800813913,1
"89",1080002340,1,213.30819579697,0.00000000858405812194767,1
"90",1080002390,1,171506.861127601,0.00000690186731330953,1
"91",1080002400,1,4307.73920738322,0.000000173354256699853,1
"92",1080002430,1,9299.02969814697,0.000000374216335703239,1
"93",1080002440,1,20.465514880605,0.00000000082358377545845,1
"94",1080002450,1,1182.58206141519,0.0000000475900755300696,1
"95",1080002460,1,112.632138153727,0.00000000453260043149532,1
"96",1080002510,1,1417.86121926853,0.0000000570583004069903,1
"97",1080002520,1,52356.1963908915,0.00000210694498251391,1
"98",1080002630,1,11872.4942727027,0.000000477779020672861,1
